Αναγνωριστικό,eidos,etos,tm_code,tm_per,eidos_from_excel,tma_code,tma_per,ps_ex,ps_dm,ps_km,teacher,
11,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110222,ΙΣΤΟΡΙΚΗ ΔΗΜΟΓΡΑΦΙΑ Ι - ΒΑΣΙΚΕΣ ΕΝΝΟΙΕΣ,1,3,ΕΥ,ΤΟΜΑΡΑ-ΣΙΔΕΡΗ ΣΤΑΜΑΤΟΥΛΑ,
12,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110223,ΙΣΤΟΡΙΚΗ ΔΗΜΟΓΡΑΦΙΑ ΙΙ - ΜΕΘΟΔΟΛΟΓΙΑ ΚΑΙ ΕΦΑΡΜΟΓΕΣ,2,3,ΕΥ,ΤΟΜΑΡΑ-ΣΙΔΕΡΗ ΣΤΑΜΑΤΟΥΛΑ,
13,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110248,ΣΥΝΤΑΓΜΑΤΙΚΑ ΔΙΚΑΙΩΜΑΤΑ,6,3,ΕΕ,ΚΑΝΕΛΛΟΠΟΥΛΟΥ ΝΕΔΑ-ΜΑΡΙΑ,
14,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110248,ΣΥΝΤΑΓΜΑΤΙΚΑ ΔΙΚΑΙΩΜΑΤΑ,6,3,ΕΕ,ΦΟΥΝΤΕΔΑΚΗ ΠΗΝΕΛΟΠΗ,
15,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110268,ΑΡΧΑΙΟΤΗΤΑ ΚΑΙ ΝΕΩΤΕΡΙΚΟΤΗΤΑ. ΘΕΩΡΗΣΗ ΚΑΙ ΠΟΛΙΤΙΚΗ ΤΟΥ ΠΑΡΕΛΘΟΝΤΟΣ - MODERNITY AND ANTIQUITY. THE POLITICS OF THE PAST,5,3,ΕΕ,ΠΕΣΜΑΖΟΓΛΟΥ ΣΤΕΦΑΝΟΣ,
16,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110300,ΙΣΤΟΡΙΚΕΣ ΣΧΟΛΕΣ ΚΑΙ ΜΕΘΟΔΟΙ Ι (ΕΥΡΩΠΑΪΚΗ ΚΑΙ ΕΛΛΗΝΙΚΗ ΙΣΤΟΡΙΟΓΡΑΦΙΑ),3,3,ΥΠ,ΑΝΔΡΙΑΚΑΙΝΑ ΕΛΕΝΗ,
17,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110307,ΟΘΩΜΑΝΙΚΗ ΙΣΤΟΡΙΑ,5,3,ΕΕ,ΠΑΠΑΓΕΩΡΓΙΟΥ ΣΤΕΦΑΝΟΣ,
18,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110308,ΔΗΜΟΚΡΑΤΙΑ ΚΑΙ ΑΝΤΙΠΡΟΣΩΠΕΥΣΗ.ΘΕΩΡΙΑ ΚΑΙ ΠΡΑΞΗ,5,3,ΕΕ,ΜΟΣΧΟΝΑΣ ΓΕΡΑΣΙΜΟΣ,
19,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110309,ΑΝΑΛΥΣΗ - ΕΠΙΛΥΣΗ ΣΥΓΚΡΟΥΣΕΩΝ,5,3,ΕΕ,ΗΡΑΚΛΕΙΔΗΣ ΑΛΕΞΙΟΣ,
20,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110312,ΕΛΛΗΝΙΚΗ ΙΣΤΟΡΙΑ ΤΟΥ 20ου ΑΙΩΝΑ: Η ΔΕΚΑΕΤΙΑ 1940-1950,5,3,ΕΕ,ΛΑΓΑΝΗ ΕΙΡΗΝΗ,
21,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110322,ΙΣΤΟΡΙΚΕΣ ΣΧΟΛΕΣ ΚΑΙ ΜΕΘΟΔΟΙ ΙΙ (ΕΥΡΩΠΑΪΚΗ  ΚΑΙ ΕΛΛΗΝΙΚΗ ΙΣΤΟΡΙΟΓΡΑΦΙΑ),2,3,ΕΥ,ΑΝΔΡΙΑΚΑΙΝΑ ΕΛΕΝΗ,
22,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110343,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΚΛΟΓΙΚΗ ΚΟΙΝΩΝΙΟΛΟΓΙΑ,1,3,ΕΥ,ΓΕΩΡΓΙΑΔΟΥ ΒΑΣΙΛΙΚΗ,
23,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110344,ΕΙΣΑΓΩΓΗ ΣΤΟ ΔΗΜΟΣΙΟ ΔΙΚΑΙΟ,1,3,ΕΥ,ΦΟΥΝΤΕΔΑΚΗ ΠΗΝΕΛΟΠΗ,
24,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110345,ΣΥΝΤΑΓΜΑΤΙΚΟ ΔΙΚΑΙΟ - ΟΡΓΑΝΩΣΗ ΤΟΥ ΚΡΑΤΟΥΣ,2,3,ΕΥ,ΦΟΥΝΤΕΔΑΚΗ ΠΗΝΕΛΟΠΗ,
25,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110355,ΕΛΛΗΝΙΚΗ ΣΥΝΤΑΓΜΑΤΙΚΗ ΙΣΤΟΡΙΑ Ι (1821-1940),5,3,ΕΕ,ΚΑΛΤΣΩΝΗΣ ΔΗΜΗΤΡΙΟΣ,
26,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110356,ΕΛΛΗΝΙΚΗ ΣΥΝΤΑΓΜΑΤΙΚΗ ΙΣΤΟΡΙΑ -ΙΙ (1941-2008),6,3,ΕΕ,ΚΑΛΤΣΩΝΗΣ ΔΗΜΗΤΡΙΟΣ,
27,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110357,ΔΙΕΘΝΕΙΣ ΣΧΕΣΕΙΣ: ΘΕΩΡΙΑ ΚΑΙ ΚΡΙΤΙΚΗ,5,3,ΕΕ,ΗΡΑΚΛΕΙΔΗΣ ΑΛΕΞΙΟΣ,
28,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110360,ΕΦΑΡΜΟΓΗ ΣΤΑΤΙΣΤΙΚΩΝ ΑΝΑΛΥΣΕΩΝ ΣΤΗΝ ΚΟΙΝΩΝΙΚΗ ΕΡΕΥΝΑ ΜΕ ΤΗΝ ΧΡΗΣΗ ΥΠΟΛΟΓΙΣΤΩΝ Ι ΑΡΧΕΣ ΚΑΙ ΜΕΘΟΔΟΙ,1,3,ΕΥ,ΚΟΛΛΙΑΣ ΑΝΔΡΕΑΣ,
29,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110369,ΠΟΛΙΤΙΚΗ ΦΙΛΟΣΟΦΙΑ - PHILOSOPHIE POLITIQUE,5,3,ΕΕ,ΦΑΡΑΚΛΑΣ-ΜΑΤΟΡΙΚΟΣ ΓΕΩΡΓΙΟΣ,
30,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110376,ΙΔΕΟΛΟΓΙΑ ΚΑΙ ΤΥΠΟΣ (19ος - 20ος αιων.),2,3,ΕΥ,ΠΑΠΑΔΗΜΗΤΡΙΟΥ-ΖΩΤΟΥ ΔΕΣΠΟΙΝΑ,
31,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110382,"ΦΑΣΙΣΜΟΣ, ΝΑΖΙΣΜΟΣ : ΘΕΩΡΗΤΙΚΕΣ ΠΡΟΣΕΓΓΙΣΕΙΣ ΚΑΙ ΖΗΤΗΜΑΤΑ ΙΣΤΟΡΙΟΓΡΑΦΙΑΣ",6,3,ΕΕ,ΠΑΠΑΔΗΜΗΤΡΙΟΥ-ΖΩΤΟΥ ΔΕΣΠΟΙΝΑ,
32,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110386,Η ΕΛΛΗΝΟ-ΤΟΥΡΚΙΚΗ ΔΙΕΝΕΞΗ,6,3,ΕΕ,ΗΡΑΚΛΕΙΔΗΣ ΑΛΕΞΙΟΣ,
33,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110396,ΤΟ ΚΥΠΡΙΑΚΟ ΠΡΟΒΛΗΜΑ,6,3,ΕΕ,ΗΡΑΚΛΕΙΔΗΣ ΑΛΕΞΙΟΣ,
34,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110398,ΟΙ ΚΟΜΜΑΤΙΚΕΣ ΟΙΚΟΓΕΝΕΙΕΣ ΣΤΗΝ ΕΥΡΩΠΗ,6,3,ΕΕ,ΜΟΣΧΟΝΑΣ ΓΕΡΑΣΙΜΟΣ,
35,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110403,ΟΙΚΟΝΟΜΙΑ ΚΑΙ ΚΟΙΝΩΝΙΑ,2,3,ΥΠ,ΙΟΡΔΑΝΟΓΛΟΥ ΧΡΥΣΑΦΗΣ,
36,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110415,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΥΡΩΠΑΪΚΗ ΘΕΩΡΙΑ ΤΟΥ ΚΡΑΤΟΥΣ ΚΑΙ ΤΟΥ ΔΙΚΑΙΟΥ,1,3,ΥΠ,ΧΡΙΣΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΗΣ (ΠΟΛ.Ε,
37,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110417,ΙΔΙΟΤΗΤΑ ΤΟΥ ΠΟΛΙΤΗ ΚΑΙ ΜΕΤΑΝΑΣΤΕΥΣΗ,5,3,ΕΕ,ΧΡΙΣΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΗΣ (ΠΟΛ.Ε,
38,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110418,ΕΥΡΩΠΑΪΚΗ ΑΚΡΑ ΔΕΞΙΑ : ΘΕΩΡΙΑ - ΜΕΘΟΔΟΛΟΓΙΑ - ΣΥΓΚΡΙΤΙΚΗ ΑΝΑΛΥΣΗ,6,3,ΕΕ,ΓΕΩΡΓΙΑΔΟΥ ΒΑΣΙΛΙΚΗ,
39,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110421,ΠΟΛΙΤΙΚΗ ΙΣΤΟΡΙΑ ΤΗΣ ΝΕΟΤΕΡΗΣ ΚΑΙ ΣΥΓΧΡΟΝΗΣ ΜΕΣΗΣ ΑΝΑΤΟΛΗΣ,5,3,ΕΕ,ΠΑΠΑΓΕΩΡΓΙΟΥ ΣΤΕΦΑΝΟΣ,
40,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110426,ΑΛΒΑΝΙΚΗ ΙΣΤΟΡΙΑ ΚΑΙ ΠΟΛΙΤΙΣΜΟΣ,6,3,ΕΕ,ΜΠΑΛΤΣΙΩΤΗΣ ΛΑΜΠΡΟΣ,
41,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110427,ΘΕΩΡΙΕΣ ΤΟΥ ΕΘΝΟΥΣ ΚΑΙ ΤΟΥ ΕΘΝΙΚΙΣΜΟΥ,5,3,ΕΕ,ΠΕΣΜΑΖΟΓΛΟΥ ΣΤΕΦΑΝΟΣ,
42,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110428,ΜΕΙΟΝΟΤΗΤΕΣ ΣΤΗΝ ΕΥΡΩΠΗ,6,3,ΕΕ,ΧΡΙΣΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΗΣ (ΠΟΛ.Ε,
43,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110429,ΕΙΣΑΓΩΓΗ ΣΤΗ ΣΥΓΚΡΙΤΙΚΗ ΠΟΛΙΤΙΚΗ,4,3,ΥΠ,ΣΕΦΕΡΙΑΔΗΣ ΣΕΡΑΦΕΙΜ,
44,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110430,ΕΙΣΑΓΩΓΗ ΣΤΗ ΔΙΕΘΝΗ ΚΟΙΝΩΝΙΑ,4,3,ΥΠ,ΗΡΑΚΛΕΙΔΗΣ ΑΛΕΞΙΟΣ,
45,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110436,ΣΥΓΧΡΟΝΗ ΕΛΛΗΝΙΚΗ ΠΟΛΙΤΙΚΗ Ι. ΟΙ ΠΟΛΙΤΙΚΕΣ ΕΞΕΛΙΞΕΙΣ 1950-2009.,1,3,ΕΥ,ΒΟΥΛΓΑΡΗΣ ΙΩΑΝ.,
46,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110437,ΠΤΥΧΙΑΚΗ ΕΡΓΑΣΙΑ,8,6,ΕΕ,ΦΟΥΝΤΕΔΑΚΗ ΠΗΝΕΛΟΠΗ,
47,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110438,ΠΤΥΧΙΑΚΗ ΕΡΓΑΣΙΑ,7,6,ΕΕ,ΦΟΥΝΤΕΔΑΚΗ ΠΗΝΕΛΟΠΗ,
48,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110444,"ΤΕΧΝΗ, ΕΛΕΥΘΕΡΙΑ, ΛΟΓΟΚΡΙΣΙΑ",6,3,ΕΕ,ΧΡΙΣΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΗΣ (ΠΟΛ.Ε,
49,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110446,"ΕΥΡΩΠΑΙΚΗ ΕΝΩΣΗ: ΘΕΩΡΙΕΣ, ΘΕΣΜΟΙ ΚΑΙ ΠΟΛΙΤΙΚΕΣ",6,3,ΕΕ,ΠΑΣΣΑΣ ΑΝΑΡΓΥΡΟΣ,
50,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110448,ΠΟΛΙΤΙΚΗ ΣΤΗΝ ΕΠΟΧΗ ΤΗΣ ΠΑΓΚΟΣΜΙΟΠΟΙΗΣΗΣ,6,3,ΕΕ,ΒΟΥΛΓΑΡΗΣ ΙΩΑΝ.,
51,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110451,ΦΙΛΟΣΟΦΙΑ ΤΩΝ ΕΠΙΣΤΗΜΩΝ Ι - Η ΑΓΓΛΟΑΜΕΡΙΚΑΝΙΚΗ ΠΑΡΑΔΟΣΗ,5,3,ΕΕ,ΦΟΥΡΤΟΥΝΗΣ ΓΕΩΡΓΙΟΣ,
52,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110452,ΦΙΛΟΣΟΦΙΑ ΤΩΝ ΕΠΙΣΤΗΜΩΝ ΙΙ - ΟΙ ΕΝΑΛΛΑΚΤΙΚΕΣ ΠΡΟΣΕΓΓΙΣΕΙΣ,6,3,ΕΕ,ΦΟΥΡΤΟΥΝΗΣ ΓΕΩΡΓΙΟΣ,
53,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110453,ΠΑΡΟΙΚΙΑΚΟΣ ΕΛΛΗΝΙΣΜΟΣ,5,3,ΕΕ,ΤΟΜΑΡΑ-ΣΙΔΕΡΗ ΣΤΑΜΑΤΟΥΛΑ,
54,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110454,ΕΥΕΡΓΕΤΙΣΜΟΣ ΤΗΣ ΕΛΛΗΝΙΚΗΣ ΔΙΑΣΠΟΡΑΣ,6,3,ΕΕ,ΤΟΜΑΡΑ-ΣΙΔΕΡΗ ΣΤΑΜΑΤΟΥΛΑ,
55,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110455,ΔΗΜΟΣΙΑ ΠΟΛΙΤΙΚΗ,1,3,ΕΥ,ΛΑΔΗ ΣΤΥΛΙΑΝΗ,
56,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110457,ΣΥΓΧΡΟΝΗ ΕΛΛΗΝΙΚΗ ΠΟΛΙΤΙΚΗ ΙΙ. Η ΠΟΛΙΤΙΚΗ ΚΟΙΝΩΝΙΟΛΟΓΙΑ ΤΗΣ ΜΕΤΑΠΟΛΙΤΕΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,2,3,ΕΥ,ΒΟΥΛΓΑΡΗΣ ΙΩΑΝ.,
57,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110458,ΚΟΙΝΩΝΙΚΗ ΙΣΤΟΡΙΑ ΤΩΝ ΣΠΟΡ (19ος-20ος αι.),5,3,ΕΕ,ΚΟΥΛΟΥΡΗ ΧΡΙΣΤΙΝΑ,
58,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110461,ΕΥΡΩΠΑΪΚΗ ΕΝΩΣΗ ΚΑΙ ΔΗΜΟΣΙΑ ΠΟΛΙΤΙΚΗ,1,3,ΕΥ,ΛΑΔΗ ΣΤΥΛΙΑΝΗ,
59,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110462,ΠΟΛΙΤΙΚΟΙ ΘΕΣΜΟΙ ΣΤΗ ΛΑΤΙΝΙΚΗ ΑΜΕΡΙΚΗ,5,3,ΕΕ,ΚΑΛΤΣΩΝΗΣ ΔΗΜΗΤΡΙΟΣ,
60,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110464,ΠΟΛΙΤΙΚΟΣ ΑΝΤΑΓΩΝΙΣΜΟΣ ΚΑΙ Μ.Μ.Ε. ΣΤΗΝ ΕΛΛΑΔΑ,2,3,ΕΥ,ΚΟΥΝΤΟΥΡΗ ΦΑΝΗ,
61,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110465,ΠΟΛΙΤΙΚΗ ΕΠΙΚΟΙΝΩΝΙΑ,1,3,ΕΥ,ΚΟΥΝΤΟΥΡΗ ΦΑΝΗ,
62,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110467,ΔΗΜΟΣΙΑ ΠΡΟΒΛΗΜΑΤΑ-ΚΡΑΤΙΚΕΣ ΠΟΛΙΤΙΚΕΣ,6,3,ΕΕ,ΚΟΥΝΤΟΥΡΗ ΦΑΝΗ,
